date, pm25, pm10, no2
2016/4/29, 39, 10, 24
2016/4/30, 34, 16, 42
2016/5/1, 44, 14, 29
2016/5/2, 41, 15, 34
2016/5/3, 38, 26, 68
2016/5/4, 62, 31, 65
2016/5/5, 70, 38, 65
2016/5/6, 91, 38, 54
2016/5/7, 99, 24, 46
2016/5/8, 65, 30, 55
2016/5/9, 74, 29, 42
2016/5/10, 84, 34, 47
2016/5/11, 97, 34, 50
2016/5/12, 88, 25, 28
2016/5/13, 62, 16, 27
2016/5/14, 43, 20, 35
2016/5/15, 56, 21, 43
2016/5/16, 65, 19, 50
2016/5/17, 61, 16, 55
2016/5/18, 50, 19, 44
2016/5/19, 57, 18, 50
2016/5/20, 53, 16, 43
2016/5/21, 50, 11, 24
2016/5/22, 36, 11, 23
2016/5/23, 32, 15, 34
2016/5/24, 42, 17, 34
2016/5/25, 44, 24, 56
2016/5/26, 64, 27, 52
2016/5/27, 71, 27, 44
2016/5/28, 75, 17, 20
2016/5/29, 57, 11, 15
2016/5/30, 37, 9, 18
2016/5/31, 34, 9, 21
2016/6/1, 32, 11, 22
2016/6/2, 30, 15, 28
2016/6/3, 49, 21, 28
2016/6/4, 67, 24, 30
2016/6/5, 65, 26, 51
